kikar_id,fb_id,fb_link,Content_type,Content_id,alt_content_type,alt_content_id,שם
87,341448679281672,https://www.facebook.com/yariv.levin.9,Member,826,candidate,826,יריב לוין
101,102155496619137,https://www.facebook.com/robert.ilatov,Member,793,candidate,793,רוברט אילטוב
112,1531002607150465,https://www.facebook.com/sbyifat,None,None,candidate,921,יפעת שאשא ביטון
88,168317476568320,https://www.facebook.com/sheetrit.meir,Member,119,None,None,מאיר שטרית
116,1390871357875195,https://www.facebook.com/zohirbhlol,None,None,candidate,927,זוהיר בהלול
23,129931940492158,https://www.facebook.com/Yaakov.Perry,Member,887,candidate,887,יעקב פרי
96,399245190165586,https://www.facebook.com/Shim.Ohayon,Member,859,candidate,859,שמעון אוחיון
11,285742004879697,https://www.facebook.com/EsawiFreige,Member,888,candidate,888,עיסאווי פריג`
7,335399036546914,https://www.facebook.com/katzisraellikud,Member,69,candidate,69,ישראל כץ
4,37665519437,https://www.facebook.com/tzipilivni,Member,213,candidate,213,ציפי לבני
79,137409609701165,https://www.facebook.com/EliyahuYishai,Member,63,candidate,63,אליהו ישי
72,442386732471209,https://www.facebook.com/sofa.landver,Member,78,candidate,78,סופה לנדבר
27,336333819807014,https://www.facebook.com/PninaTamano,Member,905,None,None,פנינה תמנו-שטה
97,547699061929908,https://www.facebook.com/SolomonYeshAtid,Member,883,None,None,שמעון סולומון
63,270198837993,https://www.facebook.com/ArielAttias,Member,791,None,None,אריאל אטיאס
85,623230457774334,https://www.facebook.com/steinitzyuval50,Member,695,candidate,695,יובל שטייניץ
47,123439757700947,https://www.facebook.com/TzipiHotovely,Member,825,candidate,825,ציפי חוטובלי
92,404224689637000,https://www.facebook.com/pages/%D7%A2%D7%95%D7%96%D7%99-%D7%9C%D7%A0%D7%93%D7%90%D7%95-Uzi-Landau/404224689637000,Member,77,None,None,עוזי לנדאו
93,430857016971866,https://www.facebook.com/pages/%D7%A8%D7%95%D7%A0%D7%9F-%D7%94%D7%95%D7%A4%D7%9E%D7%9F-Ronen-Hoffman/430857016971866,Member,869,candidate,869,רונן הופמן
65,155726207778990,https://www.facebook.com/pages/Limor-Livnat-%D7%9C%D7%99%D7%9E%D7%95%D7%A8-%D7%9C%D7%91%D7%A0%D7%AA/155726207778990,Member,70,None,None,לימור לבנת
99,100003905338146,None,Member,857,candidate,857,טלב אבו עראר
137,602064663,None,None,None,candidate,957,עאידה תומא סלימאן
89,1441382008,None,Member,197,None,None,מוחמד ברכה
136,100004118680953,None,None,None,candidate,954,רועי פולקמן
142,100005555044543,None,None,None,candidate,971,טלי פלוסקוב
130,650909719,None,None,None,candidate,946,אילן שוחט
135,585756267,None,None,None,candidate,952,שאדי חלול
132,714646928,None,None,None,candidate,948,עודד פורר
68,508516607,None,Member,903,candidate,903,סתיו שפיר
118,1024320155,None,None,None,candidate,930,איילת נחמיאס ורבין
120,100000162448100,None,None,None,candidate,934,ינון מגל
121,100004861389974,None,None,None,candidate,935,בצלאל סמוטריץ'
122,100006244031437,None,None,None,candidate,936,ניר אורבך
128,1600897493,None,None,None,candidate,944,גבי לסקי
